Year GDP_Growth
1961 0.295546673
1962 6.843507321
1963 3.62462153
1964 8.274903931
1965 8.643094936
1966 2.741104335
1967 5.280014747
1968 6.41613404
1969 6.429449078
1970 6.140181648
1971 4.316980365
1972 3.533874409
1973 5.444222985
1974 3.438717861
1975 0.002028862
1976 4.456309652
1977 2.520440279
1978 2.696246964
1979 2.014166128
1980 1.341914136
1981 -0.783611707
1982 -1.240756593
1983 2.069957888
1984 3.061679182
1985 2.580179771
1986 2.786975737
1987 1.931248685
1988 3.441218861
1989 4.420117896
1990 4.183222986
1991 2.439134408
1992 1.706070897
1993 1.257552158
1994 2.961092569
1995 3.116035986
1996 3.498742121
1997 4.329053405
1998 4.66391716
1999 5.034048152
2000 4.195642498
2001 2.326955087
2002 0.217273595
2003 0.155645898
2004 1.984945714
2005 2.050876108
2006 3.460988954
2007 3.772842521
2008 2.170324851
2009 -3.666883937
2010 1.342739336
2011 1.551189312
2012 -1.030353991
2013 -0.130175288
2014 1.423395395
2015 1.959169721
2016 2.191713719
2017 2.910902513
2018 2.360915095
2019 1.955588416
2020 -3.798635993
