"Regio";"Perioden";"Marriages";"Divorced men";"Divorced woman";"Widowed man";"Widowed woman"
"Groningen (PV)";"2000";"2564";"1054";"1037";"683";"1551"
"Groningen (PV)";"2001";"2423";"1118";"1167";"710";"1572"
"Groningen (PV)";"2002";"2496";"976";"1000";"714";"1516"
"Groningen (PV)";"2003";"2379";"983";"1000";"663";"1526"
"Groningen (PV)";"2004";"2287";"899";"943";"668";"1468"
"Groningen (PV)";"2005";"2215";"945";"964";"690";"1386"
"Groningen (PV)";"2006";"2176";"965";"984";"644";"1412"
"Groningen (PV)";"2007";"2164";"1014";"1020";"655";"1405"
"Groningen (PV)";"2008";"2382";"1056";"1032";"652";"1363"
"Groningen (PV)";"2009";"2277";"939";"981";"661";"1401"
"Groningen (PV)";"2010";"2209";"1087";"1103";"700";"1371"
"Groningen (PV)";"2011";"1980";"1007";"1050";"657";"1366"
"Groningen (PV)";"2012";"2086";"1047";"1092";"709";"1496"
"Groningen (PV)";"2013";"1755";"1041";"1074";"699";"1331"
"Groningen (PV)";"2014";"1740";"1093";"1114";"684";"1349"
"Groningen (PV)";"2015";"1708";"1016";"1037";"724";"1383"
"Groningen (PV)";"2016";"1700";"941";"976";"752";"1324"
"Fryslân (PV)";"2000";"3219";"1069";"1121";"719";"1735"
"Fryslân (PV)";"2001";"2931";"1218";"1227";"754";"1737"
"Fryslân (PV)";"2002";"3125";"1013";"1057";"770";"1676"
"Fryslân (PV)";"2003";"3006";"935";"943";"708";"1655"
"Fryslân (PV)";"2004";"2795";"836";"840";"753";"1617"
"Fryslân (PV)";"2005";"2702";"900";"909";"762";"1629"
"Fryslân (PV)";"2006";"2795";"938";"951";"716";"1631"
"Fryslân (PV)";"2007";"2609";"953";"981";"745";"1545"
"Fryslân (PV)";"2008";"2847";"1008";"1005";"776";"1575"
"Fryslân (PV)";"2009";"2790";"937";"959";"709";"1646"
"Fryslân (PV)";"2010";"2555";"1105";"1108";"782";"1605"
"Fryslân (PV)";"2011";"2405";"1119";"1134";"759";"1589"
"Fryslân (PV)";"2012";"2365";"1093";"1113";"777";"1636"
