"Regio's","Perioden","Huwen Huwelijkssluitingen
Totaal huwelijkssluitingen (aantal)","Huwende personen Huwende mannen (aantal)","Huwende personen Huwende mannen, relatief (per 1 000 niet-gehuwde mannen)","Huwende personen Huwende vrouwen (aantal)","Huwende personen Huwende vrouwen, relatief (per 1 000 niet-gehuwde vrouwen)","Van echt scheidende personen Van echt scheidende mannen (aantal)","Van echt scheidende mannen, relatief (per 1 000 gehuwde mannen)","Van echt scheidende vrouwen (aantal)","Van echt scheidende vrouwen, relatief (per 1 000 gehuwde vrouwen)","Verweduwende personen Verweduwende mannen (aantal)","Verweduwende mannen, relatief (per 1 000 gehuwde mannen)","Verweduwende vrouwen (aantal)","Verweduwende vrouwen, relatief (per 1 000 gehuwde vrouwen)"
"Nederland","2020","50.233","48.224","12,1","47.079","11,3","27.117","8,1","28.232","8,4","21.413","6,4","44.315","13,3"
"Noord-Nederland (LD)","2020","3.940","3.845","10,0","3.842","10,1","2.599","8,2","2.751","8,8","2.304","6,3","4.683","12,5"
"Oost-Nederland (LD)","2020","9.793","9.986","13,1","9.813","12,6","5.883","7,8","6.083","8,1","4.724","6,6","9.603","13,2"
"West-Nederland (LD)","2020","22.753","24.998","12,5","24.230","11,2","12.854","8,2","13.415","8,5","9.017","6,1","19.123","13,2"
"Zuid-Nederland (LD)","2020","9.061","9.395","11,3","9.194","11,1","5.781","8,2","5.983","8,6","5.368","6,9","10.906","13,7"
"Groningen (PV)","2020","1.310","1.402","9,5","1.397","9,1","897","9,2","940","9,7","706","6,4","1.399","12,6"
"Fryslân (PV)","2020","1.484","1.376","9,8","1.361","10,2","887","7,3","944","7,8","850","6,1","1.803","12,6"
"Drenthe (PV)","2020","1.146","1.067","11,1","1.084","11,6","815","8,4","867","9,1","748","6,4","1.481","12,5"
"Overijssel (PV)","2020","2.851","2.999","12,4","2.967","12,5","1.755","7,3","1.787","7,5","1.523","6,6","3.161","13,5"
"Flevoland (PV)","2020","1.165","1.377","14,9","1.389","14,1","773","8,5","809","8,8","402","6,5","801","13,4"
"Gelderland (PV)","2020","5.777","5.610","13,1","5.457","12,3","3.355","7,9","3.487","8,3","2.799","6,6","5.641","13,1"
"Utrecht (PV)","2020","4.080","4.289","13,9","4.155","12,0","2.043","7,6","2.163","8,0","1.431","6,2","2.876","12,5"
"Noord-Holland (PV)","2020","7.735","8.504","11,4","8.227","10,1","4.299","8,4","4.461","8,7","2.903","5,9","6.267","13,1"
"Zuid-Holland (PV)","2020","9.822","11.111","12,8","10.789","11,5","5.893","8,3","6.167","8,6","4.129","6,2","8.833","13,7"
"Zeeland (PV)","2020","1.116","1.094","15,2","1.059","15,1","619","7,7","624","7,8","554","5,8","1.147","12,1"
"Noord-Brabant (PV)","2020","6.351","6.686","11,5","6.518","11,2","4.029","8,0","4.175","8,4","3.591","6,9","7.293","13,7"
"Limburg (PV)","2020","2.710","2.709","10,8","2.676","10,8","1.752","8,6","1.808","9,0","1.777","6,9","3.613","13,7"
"Oost-Groningen (CR)","2020","287","307","11,3","308","12,0","257","9,9","282","11,0","220","6,8","430","13,1"
"Delfzijl en omgeving (CR)","2020","112","104","11,1","114","13,1","62","7,2","67","7,9","65","5,8","153","13,6"
"Overig Groningen (CR)","2020","911","991","8,9","975","8,2","578","9,2","591","9,4","421","6,3","816","12,2"
"Noord-Friesland (CR)","2020","723","661","9,1","671","9,6","419","7,2","454","7,8","399","6,1","833","12,5"
"Zuidwest-Friesland (CR)","2020","321","265","9,3","257","9,7","199","7,4","203","7,6","204","6,2","425","12,8"
"Zuidoost-Friesland (CR)","2020","440","450","11,8","433","11,7","269","7,4","287","8,0","247","5,9","545","12,5"
"Noord-Drenthe (CR)","2020","460","390","10,6","396","10,9","299","8,1","323","8,8","282","6,0","565","11,9"
"Zuidoost-Drenthe (CR)","2020","362","378","11,4","385","11,8","282","8,7","311","9,7","289","7,4","540","13,5"
"Zuidwest-Drenthe (CR)","2020","324","299","11,7","303","12,1","234","8,7","233","8,7","177","5,7","376","12,0"
"Noord-Overijssel (CR)","2020","1.022","1.150","15,7","1.146","15,5","624","7,5","633","7,6","442","6,2","903","12,6"
"Zuidwest-Overijssel (CR)","2020","364","366","10,8","347","10,0","234","7,6","236","7,7","209","6,6","430","13,5"
"Twente (CR)","2020","1.465","1.483","11,0","1.474","11,5","897","7,1","918","7,3","872","6,8","1.828","14,0"
"Veluwe (CR)","2020","2.269","2.205","17,8","2.183","17,0","1.136","7,2","1.193","7,6","924","6,4","1.867","12,7"
"Achterhoek (CR)","2020","917","818","10,5","815","10,9","568","7,3","589","7,7","598","6,2","1.272","12,9"
"Arnhem/Nijmegen (CR)","2020","1.805","1.842","10,3","1.755","9,1","1.239","9,4","1.268","9,7","915","6,6","1.827","13,2"
"Zuidwest-Gelderland (CR)","2020","786","745","15,9","704","15,3","412","7,4","437","7,9","362","7,7","675","14,4"
"Utrecht (CR)","2020","4.080","4.289","13,9","4.155","12,0","2.043","7,6","2.163","8,0","1.431","6,2","2.876","12,5"
"Kop van Noord-Holland (CR)","2020","919","903","11,3","883","11,2","591","8,1","614","8,4","467","5,8","1.006","12,6"
"Alkmaar en omgeving (CR)","2020","558","616","11,2","611","10,9","353","7,7","375","8,2","304","5,7","634","11,9"
"IJmond (CR)","2020","536","525","12,3","531","12,1","275","7,2","261","6,9","267","6,1","562","13,0"
"Agglomeratie Haarlem (CR)","2020","751","660","11,7","693","11,3","336","8,4","364","9,1","254","5,9","535","12,8"
"Zaanstreek (CR)","2020","367","506","12,8","482","11,5","269","8,1","289","8,7","216","6,6","435","13,6"
"Groot-Amsterdam (CR)","2020","3.889","4.653","11,0","4.388","9,2","2.047","8,7","2.116","9,1","1.058","5,7","2.404","13,9"
"Het Gooi en Vechtstreek (CR)","2020","715","641","12,2","639","11,4","428","8,8","442","9,1","337","6,1","691","12,8"
"Agglomeratie Leiden en Bollenstreek (CR)","2020","1.108","1.104","11,5","1.082","10,2","633","7,6","639","7,7","534","6,4","1.049","12,7"
"Agglomeratie 's-Gravenhage (CR)","2020","2.163","2.606","11,6","2.506","10,2","1.421","8,9","1.509","9,3","737","5,4","1.718","13,2"
"Delft en Westland (CR)","2020","765","668","11,2","628","10,9","306","7,0","330","7,6","254","5,9","535","12,5"
"Oost-Zuid-Holland (CR)","2020","949","1.066","16,0","1.064","15,7","554","7,7","549","7,6","414","6,0","850","12,4"
"Groot-Rijnmond (CR)","2020","3.827","4.517","12,9","4.348","11,3","2.356","8,6","2.472","9,0","1.714","6,7","3.581","14,4"
"Zuidoost-Zuid-Holland (CR)","2020","1.010","1.150","16,4","1.161","15,8","623","7,6","668","8,1","476","6,2","1.100","14,7"
"Zeeuwsch-Vlaanderen (CR)","2020","252","268","12,7","250","12,5","160","7,7","155","7,6","152","5,4","353","12,6"
"Overig Zeeland (CR)","2020","864","826","16,3","809","16,1","459","7,8","469","7,9","402","6,0","794","11,9"
"West-Noord-Brabant (CR)","2020","1.558","1.645","12,0","1.578","11,1","1.068","8,5","1.110","8,9","931","7,1","1.758","13,2"
"Midden-Noord-Brabant (CR)","2020","1.323","1.320","12,0","1.330","11,6","781","8,3","787","8,4","671","7,2","1.412","14,9"
"Noordoost-Noord-Brabant (CR)","2020","1.623","1.547","10,6","1.543","10,6","969","7,4","1.019","7,9","946","7,0","1.944","13,9"
"Zuidoost-Noord-Brabant (CR)","2020","1.847","2.174","11,7","2.067","11,7","1.211","7,9","1.259","8,4","1.043","6,5","2.179","13,2"
"Noord-Limburg (CR)","2020","567","606","9,8","583","10,0","427","7,7","435","8,0","378","5,9","857","13,1"
"Midden-Limburg (CR)","2020","566","574","10,9","555","11,1","364","8,1","357","8,1","364","6,5","725","12,7"
"Zuid-Limburg (CR)","2020","1.577","1.529","11,3","1.538","11,1","961","9,2","1.016","9,9","1.035","7,4","2.031","14,3"
"Flevoland (CR)","2020","1.165","1.377","14,9","1.389","14,1","773","8,5","809","8,8","402","6,5","801","13,4"
"Aa en Hunze","2020","137","42","9,4","41","9,9","32","6,4","39","8,0","38","5,6","78","11,2"
"Aalburg","2020","","","","","","","","","","","","",""
"Aalsmeer","2020","54","76","12,5","77","11,9","57","8,5","56","8,4","35","5,4","70","10,9"
"Aalten","2020","44","58","11,1","56","11,4","19","3,5","30","5,7","42","6,8","87","13,9"
"Ter Aar","2020","","","","","","","","","","","","",""
"Aardenburg","2020","","","","","","","","","","","","",""
"Aarle-Rixtel","2020","","","","","","","","","","","","",""
"Abcoude","2020","","","","","","","","","","","","",""
"Achtkarspelen","2020","44","53","9,9","51","10,4","35","5,9","40","6,8","44","8,2","75","13,7"
"Adorp","2020","","","","","","","","","","","","",""
"Aduard","2020","","","","","","","","","","","","",""
"Akersloot","2020","","","","","","","","","","","","",""
"Alblasserdam","2020","55","45","14,5","52","15,7","36","7,5","28","5,8","23","5,2","61","13,8"
"Albrandswaard","2020","99","75","16,4","76","15,8","42","7,2","38","6,5","30","6,2","68","14,6"
"Alkemade","2020","","","","","","","","","","","","",""
"Alkmaar","2020","249","308","11,2","315","10,9","164","8,6","170","8,8","127","6,3","243","12,2"
"Almelo","2020","159","213","13,1","200","12,6","117","8,1","116","8,0","98","7,2","220","15,9"
"Almere","2020","485","639","12,7","640","11,3","389","8,9","428","9,6","151","6,0","305","12,7"
"Alphen aan den Rijn","2020","285","321","13,6","322","13,4","195","8,3","192","8,2","128","5,8","266","12,1"
"Alphen en Riel","2020","","","","","","","","","","","","",""
"Alphen-Chaam","2020","25","18","9,5","19","10,4","14","6,5","7","3,3","20","7,5","36","13,0"
"Altena","2020","191","180","19,4","183","20,4","91","6,7","83","6,1","81","6,9","179","15,5"
"Ambt Delden","2020","","","","","","","","","","","","",""
"Ambt Montfort","2020","","","","","","","","","","","","",""
"Ameland","2020","28","7","8,7","9","11,4","2","2,8","2","2,8","5","5,9","5","6,0"
"Amerongen","2020","","","","","","","","","","","","",""
"Amersfoort","2020","429","505","14,6","506","13,4","256","7,7","274","8,1","121","5,2","281","12,3"
"Ammerzoden","2020","","","","","","","","","","","","",""
"Amstelveen","2020","172","230","13,1","187","9,1","126","6,5","133","6,9","99","5,6","201","11,6"
"Amsterdam","2020","2.633","3.286","10,4","3.098","8,6","1.260","9,9","1.281","10,1","490","5,8","1.159","15,7"
"Andijk","2020","","","","","","","","","","","","",""
"Angerlo","2020","","","","","","","","","","","","",""
"Anloo","2020","","","","","","","","","","","","",""
"Anna Paulowna","2020","","","","","","","","","","","","",""
"Apeldoorn","2020","391","456","13,4","452","13,1","296","8,9","303","9,2","220","6,6","417","12,1"
"Appingedam","2020","28","21","9,2","24","9,9","15","7,3","15","7,4","22","7,6","45","15,4"
"Arcen en Velden","2020","","","","","","","","","","","","",""
"Arnemuiden","2020","","","","","","","","","","","","",""
"Arnhem","2020","420","499","10,4","456","9,0","332","12,5","330","12,5","154","7,2","275","13,3"
"Assen","2020","115","168","11,4","172","11,4","131","10,0","137","10,6","108","8,0","157","11,4"
"Asten","2020","66","39","11,4","39","12,7","10","2,9","13","3,9","15","4,0","46","11,9"
"Avereest","2020","","","","","","","","","","","","",""
"Axel","2020","","","","","","","","","","","","",""
"Bron: CBS."
