"";"";"Huwen|Huwelijkssluitingen|Totaal huwelijkssluitingen";"Huwen|Huwende personen|Huwende mannen";"Huwen|Huwende personen|Huwende mannen, relatief";"Huwen|Huwende personen|Huwende vrouwen";"Huwen|Huwende personen|Huwende vrouwen, relatief";"Van echt scheidende personen|Van echt scheidende mannen";"Van echt scheidende personen|Van echt scheidende mannen, relatief";"Van echt scheidende personen|Van echt scheidende vrouwen";"Van echt scheidende personen|Van echt scheidende vrouwen, relatief";"Verweduwende personen|Verweduwende mannen";"Verweduwende personen|Verweduwende mannen, relatief";"Verweduwende personen|Verweduwende vrouwen";"Verweduwende personen|Verweduwende vrouwen, relatief"
"Regio's";"Perioden";"aantal";"aantal";"per 1 000 niet-gehuwde mannen";"aantal";"per 1 000 niet-gehuwde vrouwen";"aantal";"per 1 000 gehuwde mannen";"aantal";"per 1 000 gehuwde vrouwen";"aantal";"per 1 000 gehuwde mannen";"aantal";"per 1 000 gehuwde vrouwen"
"Groningen (PV)";"1988";"2820";"3059";"28,9";"3103";"25,8";"917";"7,7";"928";"7,8";"711";"4,9";"1744";"12,0"
"Groningen (PV)";"1989";"3044";"3163";"29,7";"3198";"26,4";"898";"7,6";"921";"7,9";"718";"5,0";"1651";"11,4"
"Groningen (PV)";"1990";"3210";"3382";"31,8";"3403";"28,1";"876";"7,5";"886";"7,6";"669";"4,7";"1709";"11,9"
"Groningen (PV)";"1991";"3101";"3230";"30,3";"3301";"27,2";"846";"7,3";"859";"7,4";"709";"5,0";"1710";"11,9"
"Groningen (PV)";"1992";"3068";"3335";"31,3";"3321";"27,3";"861";"7,4";"898";"7,8";"688";"4,8";"1665";"11,6"
"Groningen (PV)";"1993";"2926";"3089";"28,8";"3111";"25,4";"896";"7,8";"906";"7,9";"713";"5,1";"1756";"12,3"
"Groningen (PV)";"1994";"2758";"2899";"26,8";"2895";"23,5";"983";"8,5";"1050";"9,1";"702";"5,0";"1645";"11,7"
"Groningen (PV)";"1995";"2482";"2656";"24,3";"2654";"21,4";"994";"8,6";"1058";"9,2";"609";"4,4";"1618";"11,6"
"Groningen (PV)";"1996";"2510";"2676";"24,2";"2638";"21,3";"1026";"9,0";"1071";"9,4";"721";"5,3";"1634";"11,9"
